
"Claimant count by sex and age"
"ONS Crown Copyright Reserved [from Nomis on 3 November 2017]"
"Analysis   :","standard"
"Date       :","September 2017"
"Age        :","All categories: Age 16+"
"measure    :","Claimant count"

"2011 super output area - lower layer","mnemonic","Total","Male","Female"

"Bolton 001A","E01004768",5,5,0
"Bolton 001B","E01004803",10,5,5
"Bolton 001C","E01004804",5,0,0
"Bolton 001D","E01004807",10,5,5
"Bolton 001E","E01004808",5,5,0
"Bolton 002A","E01004788",5,0,5
"Bolton 002B","E01004790",15,10,5
"Bolton 002C","E01004805",5,5,5
"Bolton 002D","E01004806",10,5,5
"Bolton 002E","E01004810",10,10,0
"Bolton 003A","E01004769",15,10,5
"Bolton 003B","E01004770",5,5,5
"Bolton 003C","E01004771",5,5,0
"Bolton 003D","E01004773",20,10,10
"Bolton 003E","E01004809",25,15,10
"Bolton 004A","E01004777",20,10,10
"Bolton 004B","E01004881",25,10,15
"Bolton 004C","E01004888",25,15,10
"Bolton 004D","E01004889",25,15,10
"Bolton 004E","E01004890",15,10,10
"Bolton 005A","E01004766",25,15,10
"Bolton 005B","E01004767",30,20,10
"Bolton 005C","E01004772",60,35,25
"Bolton 005D","E01004774",45,25,20
"Bolton 005E","E01004824",40,25,15
"Bolton 006A","E01004784",5,5,0
"Bolton 006B","E01004785",15,10,10
"Bolton 006C","E01004786",10,5,5
"Bolton 006D","E01004789",5,0,0
"Bolton 006E","E01004791",5,5,0
"Bolton 006F","E01004792",5,5,0
"Bolton 007A","E01004779",15,10,10
"Bolton 007B","E01004781",20,10,10
"Bolton 007C","E01004882",10,5,0
"Bolton 007D","E01004883",25,15,10
"Bolton 007E","E01004884",5,5,0
"Bolton 008A","E01004864",25,15,10
"Bolton 008B","E01004867",30,20,10
"Bolton 008C","E01004921",30,15,15
"Bolton 008D","E01004924",5,5,0
"Bolton 008E","E01004925",15,10,5
"Bolton 009A","E01004778",10,5,5
"Bolton 009B","E01004780",15,10,10
"Bolton 009C","E01004782",20,10,10
"Bolton 009D","E01004783",5,5,0
"Bolton 010A","E01004802",55,30,25
"Bolton 010B","E01004926",55,25,30
"Bolton 010C","E01004927",80,45,35
"Bolton 010D","E01004929",30,20,15
"Bolton 011A","E01004820",90,55,35
"Bolton 011B","E01004825",65,50,15
"Bolton 011C","E01004826",55,35,25
"Bolton 011D","E01004865",35,20,15
"Bolton 011E","E01004866",70,45,25
"Bolton 012A","E01004840",15,10,5
"Bolton 012B","E01004841",80,50,35
"Bolton 012C","E01004842",5,0,5
"Bolton 012D","E01004919",15,10,5
"Bolton 012E","E01004920",35,20,15
"Bolton 013A","E01004787",90,45,45
"Bolton 013B","E01004793",75,50,30
"Bolton 013C","E01004794",100,55,45
"Bolton 013D","E01004795",60,40,20
"Bolton 013E","E01004797",55,35,20
"Bolton 014A","E01004775",10,5,5
"Bolton 014B","E01004885",0,0,0
"Bolton 014C","E01004886",30,20,10
"Bolton 014D","E01004887",15,10,5
"Bolton 015A","E01004868",55,30,25
"Bolton 015B","E01004869",65,40,25
"Bolton 015C","E01004870",90,75,20
"Bolton 015D","E01004871",35,20,15
"Bolton 015E","E01004922",55,30,25
"Bolton 016B","E01004822",65,40,20
"Bolton 016C","E01004823",120,85,35
"Bolton 016D","E01004848",85,50,30
"Bolton 016E","E01033217",50,35,15
"Bolton 016F","E01033220",90,70,20
"Bolton 017A","E01004818",100,90,10
"Bolton 017B","E01004819",30,20,5
"Bolton 017C","E01004928",55,35,20
"Bolton 017D","E01004930",15,10,10
"Bolton 017E","E01004931",35,25,10
"Bolton 017F","E01004932",35,25,15
"Bolton 018A","E01004834",30,15,10
"Bolton 018B","E01004838",55,25,30
"Bolton 018C","E01004843",5,5,5
"Bolton 018D","E01004845",10,10,0
"Bolton 018E","E01004923",40,25,15
"Bolton 019A","E01004796",25,20,5
"Bolton 019B","E01004798",40,25,20
"Bolton 019C","E01004799",10,10,0
"Bolton 019D","E01004800",10,5,5
"Bolton 019E","E01004801",70,40,30
"Bolton 019F","E01004917",40,20,20
"Bolton 020A","E01004835",5,5,5
"Bolton 020B","E01004836",20,10,5
"Bolton 020C","E01004837",5,5,0
"Bolton 020D","E01004844",5,5,0
"Bolton 020E","E01004897",0,0,0
"Bolton 021A","E01004827",70,45,25
"Bolton 021B","E01004849",50,30,25
"Bolton 021C","E01004850",125,85,45
"Bolton 021D","E01004851",65,45,20
"Bolton 021E","E01004853",55,30,25
"Bolton 022A","E01004811",55,30,25
"Bolton 022B","E01004812",50,35,15
"Bolton 022C","E01004813",20,10,10
"Bolton 022D","E01004815",40,25,15
"Bolton 022E","E01004817",60,40,20
"Bolton 023A","E01004828",45,30,15
"Bolton 023B","E01004829",45,25,20
"Bolton 023C","E01004832",25,10,10
"Bolton 023D","E01004854",25,15,10
"Bolton 023E","E01004878",30,20,10
"Bolton 024A","E01004911",30,10,20
"Bolton 024B","E01004912",10,5,5
"Bolton 024C","E01004913",25,15,10
"Bolton 024D","E01004914",5,5,0
"Bolton 024E","E01004915",5,5,0
"Bolton 024F","E01004916",10,5,5
"Bolton 024G","E01004918",10,5,5
"Bolton 025A","E01004846",35,15,20
"Bolton 025B","E01004847",65,40,25
"Bolton 025C","E01004852",25,15,15
"Bolton 025D","E01004877",70,35,35
"Bolton 025E","E01004879",45,20,20
"Bolton 026A","E01004830",45,30,15
"Bolton 026B","E01004831",30,20,5
"Bolton 026C","E01004833",15,5,10
"Bolton 026D","E01004839",70,35,35
"Bolton 027A","E01004814",40,25,15
"Bolton 027B","E01004855",40,20,20
"Bolton 027C","E01004856",55,30,25
"Bolton 027D","E01004857",65,30,35
"Bolton 028A","E01004891",15,10,5
"Bolton 028B","E01004893",5,5,0
"Bolton 028C","E01004894",15,10,10
"Bolton 028E","E01004901",5,5,5
"Bolton 028F","E01033218",10,5,5
"Bolton 028G","E01033219",5,0,0
"Bolton 029A","E01004816",25,15,10
"Bolton 029B","E01004872",40,25,15
"Bolton 029C","E01004873",45,25,15
"Bolton 029D","E01004875",25,15,15
"Bolton 029E","E01004880",10,5,5
"Bolton 030A","E01004892",5,5,0
"Bolton 030B","E01004896",5,5,5
"Bolton 030C","E01004899",25,10,10
"Bolton 030D","E01004900",15,10,10
"Bolton 031A","E01004776",25,15,10
"Bolton 031B","E01004895",15,10,10
"Bolton 031C","E01004936",20,15,5
"Bolton 031D","E01004938",45,15,30
"Bolton 031E","E01004939",40,25,15
"Bolton 032A","E01004858",40,30,15
"Bolton 032B","E01004859",60,35,25
"Bolton 032C","E01004860",30,20,10
"Bolton 032D","E01004902",30,20,10
"Bolton 032E","E01004906",40,20,15
"Bolton 033A","E01004861",60,35,30
"Bolton 033B","E01004862",40,20,20
"Bolton 033C","E01004863",50,35,20
"Bolton 033D","E01004874",25,15,10
"Bolton 033E","E01004876",45,25,20
"Bolton 034A","E01004903",5,5,0
"Bolton 034B","E01004904",10,5,5
"Bolton 034C","E01004905",25,15,5
"Bolton 034D","E01004907",20,15,10
"Bolton 034E","E01004908",20,10,10
"Bolton 034F","E01004909",25,20,5
"Bolton 034G","E01004910",15,10,10
"Bolton 035A","E01004933",10,5,5
"Bolton 035B","E01004934",25,15,10
"Bolton 035C","E01004935",15,10,5
"Bolton 035D","E01004937",10,0,10
"Bolton 035E","E01004940",10,5,0
"Bury 001A","E01005014",15,10,5
"Bury 001B","E01005015",20,15,5
"Bury 001C","E01005016",10,10,0
"Bury 001D","E01005017",10,5,5
"Bury 001E","E01005018",25,15,10
"Bury 001F","E01005021",0,0,0
"Bury 002A","E01005019",15,5,5
"Bury 002B","E01005023",5,5,0
"Bury 002C","E01005046",5,5,0
"Bury 002D","E01005048",5,5,0
"Bury 003A","E01005020",5,5,0
"Bury 003B","E01005022",10,10,0
"Bury 003C","E01005047",5,5,0
"Bury 003D","E01005049",10,5,5
"Bury 003E","E01005051",5,5,5
"Bury 004A","E01004976",30,15,15
"Bury 004B","E01004977",15,10,5
"Bury 004C","E01004978",20,15,5
"Bury 004D","E01004981",15,5,10
"Bury 004E","E01004982",15,10,5
"Bury 005A","E01004961",30,15,15
"Bury 005B","E01004965",5,0,0
"Bury 005C","E01004966",40,20,20
"Bury 005D","E01004967",5,5,0
"Bury 006A","E01004963",20,10,10
"Bury 006B","E01004968",10,5,5
"Bury 006C","E01005050",10,5,5
"Bury 006D","E01005052",10,0,5
"Bury 006E","E01005053",5,5,0
"Bury 007A","E01004954",15,15,5
"Bury 007B","E01004955",25,15,10
"Bury 007C","E01004956",45,25,20
"Bury 007D","E01004957",85,45,40
"Bury 007E","E01004960",90,60,30
"Bury 008A","E01004958",45,25,20
"Bury 008B","E01004959",50,30,20
"Bury 008C","E01004979",65,45,20
"Bury 008D","E01004980",55,35,25
"Bury 008E","E01005024",55,25,30
"Bury 008F","E01005026",25,10,10
"Bury 009A","E01004947",35,15,20
"Bury 009B","E01004948",50,35,15
"Bury 009C","E01004962",20,15,10
"Bury 009D","E01004964",20,10,10
"Bury 010A","E01004949",5,5,0
"Bury 010B","E01004950",10,5,0
"Bury 010C","E01004951",10,5,5
"Bury 010D","E01004952",5,5,0
"Bury 010E","E01004953",10,5,5
"Bury 011A","E01005025",30,20,10
"Bury 011B","E01005027",30,20,10
"Bury 011C","E01005028",65,40,25
"Bury 011D","E01005029",35,20,15
"Bury 012A","E01005000",20,15,5
"Bury 012B","E01005001",20,10,10
"Bury 012C","E01005005",10,5,5
"Bury 012D","E01005006",25,15,10
"Bury 013A","E01005030",55,35,20
"Bury 013B","E01005054",10,5,5
"Bury 013C","E01005059",20,15,5
"Bury 013D","E01005060",15,10,5
"Bury 014A","E01004997",15,10,10
"Bury 014B","E01004998",10,10,5
"Bury 014C","E01004999",10,5,5
"Bury 014D","E01005002",15,10,5
"Bury 014E","E01005003",35,15,20
"Bury 015A","E01004991",15,5,5
"Bury 015B","E01004992",30,15,15
"Bury 015C","E01004993",50,25,20
"Bury 015D","E01004994",25,10,10
"Bury 016A","E01004990",35,20,15
"Bury 016B","E01004996",50,30,20
"Bury 016C","E01005004",65,45,15
"Bury 016D","E01005008",75,40,35
"Bury 016E","E01005009",55,35,20
"Bury 017A","E01004945",15,10,5
"Bury 017B","E01005055",10,5,5
"Bury 017C","E01005056",10,10,0
"Bury 017D","E01005057",25,5,20
"Bury 017E","E01005058",10,5,5
"Bury 018A","E01004995",5,0,5
"Bury 018B","E01005010",15,10,5
"Bury 018C","E01005012",45,30,15
"Bury 018D","E01005013",50,30,20
"Bury 019A","E01004984",5,5,5
"Bury 019B","E01004985",5,5,5
"Bury 019C","E01004989",10,5,5
"Bury 019D","E01005007",15,10,5
"Bury 019E","E01005011",10,5,0
"Bury 020A","E01004983",10,5,5
"Bury 020B","E01004986",35,20,10
"Bury 020C","E01004987",45,30,15
"Bury 020D","E01004988",15,5,10
"Bury 021A","E01004941",45,25,15
"Bury 021B","E01004942",40,20,20
"Bury 021C","E01004943",20,5,15
"Bury 021D","E01004944",5,5,5
"Bury 021E","E01004946",60,40,15
"Bury 022A","E01004969",30,20,10
"Bury 022B","E01004970",10,5,5
"Bury 022C","E01004971",10,5,0
"Bury 022D","E01005034",20,15,5
"Bury 023A","E01004972",30,15,15
"Bury 023B","E01004973",20,10,10
"Bury 023C","E01004975",30,20,10
"Bury 023D","E01005039",20,15,5
"Bury 023E","E01005045",20,15,5
"Bury 024A","E01004974",10,10,5
"Bury 024B","E01005033",15,10,5
"Bury 024C","E01005036",35,25,10
"Bury 024D","E01005037",15,10,0
"Bury 025A","E01005031",25,15,10
"Bury 025B","E01005032",30,25,10
"Bury 025C","E01005035",25,15,5
"Bury 025D","E01005038",10,10,0
"Bury 026A","E01005040",25,10,15
"Bury 026B","E01005041",10,5,5
"Bury 026C","E01005042",15,10,5
"Bury 026D","E01005043",5,5,0
"Bury 026E","E01005044",15,10,5
"Manchester 001A","E01005098",40,25,10
"Manchester 001B","E01005099",55,30,25
"Manchester 001C","E01005100",25,10,10
"Manchester 001D","E01005102",20,10,10
"Manchester 001E","E01005103",40,20,20
"Manchester 002A","E01005101",30,20,10
"Manchester 002B","E01005135",45,25,20
"Manchester 002C","E01005136",30,20,10
"Manchester 002D","E01005138",70,35,30
"Manchester 002E","E01005140",50,30,20
"Manchester 003B","E01005139",40,25,15
"Manchester 003C","E01005141",55,35,20
"Manchester 003D","E01005251",40,20,20
"Manchester 003E","E01005252",35,20,15
"Manchester 003F","E01033685",15,5,5
"Manchester 003G","E01033687",35,30,5
"Manchester 004A","E01005104",45,30,10
"Manchester 004B","E01005160",25,15,10
"Manchester 004C","E01005161",30,15,15
"Manchester 004D","E01005162",20,10,10
"Manchester 004E","E01005163",25,15,10
"Manchester 005A","E01005247",15,10,10
"Manchester 005B","E01005248",10,5,5
"Manchester 005C","E01005249",25,20,10
"Manchester 005D","E01005250",35,20,15
"Manchester 005E","E01005253",35,20,10
"Manchester 005F","E01005254",15,10,5
"Manchester 006A","E01005164",70,40,30
"Manchester 006B","E01005205",75,45,30
"Manchester 006C","E01005206",40,25,10
"Manchester 006D","E01005207",45,20,25
"Manchester 007A","E01005223",50,35,15
"Manchester 007B","E01005224",45,25,20
"Manchester 007C","E01005225",55,30,25
"Manchester 007D","E01005226",45,25,15
"Manchester 007E","E01005229",10,5,5
"Manchester 008A","E01005145",55,40,15
"Manchester 008B","E01005146",35,25,10
"Manchester 008C","E01005149",25,15,10
"Manchester 008D","E01005165",85,65,25
"Manchester 008E","E01005166",45,30,15
"Manchester 008F","E01005167",30,20,15
"Manchester 009A","E01005202",70,45,25
"Manchester 009B","E01005203",90,55,30
"Manchester 009D","E01005227",60,40,20
"Manchester 009E","E01005228",75,45,30
"Manchester 009F","E01033678",50,30,20
"Manchester 009G","E01033679",55,40,10
"Manchester 011A","E01005256",70,45,25
"Manchester 011B","E01005257",70,35,35
"Manchester 011C","E01005258",45,25,20
"Manchester 011D","E01005259",60,35,25
"Manchester 011E","E01005260",20,15,5
"Manchester 012A","E01005093",40,25,15
"Manchester 012B","E01005094",45,25,25
"Manchester 012C","E01005097",45,30,15
"Manchester 012D","E01005255",75,50,20
"Manchester 012E","E01005261",50,25,20
"Manchester 013B","E01005129",40,25,20
"Manchester 013C","E01005132",60,35,25
"Manchester 013D","E01005133",35,25,10
"Manchester 013E","E01033663",15,10,5
"Manchester 013F","E01033684",10,5,0
"Manchester 013G","E01033688",45,20,20
"Manchester 015A","E01005092",35,20,20
"Manchester 015C","E01005105",60,35,20
"Manchester 015D","E01005106",65,35,30
"Manchester 015E","E01005107",45,30,15
"Manchester 015F","E01033668",30,20,10
"Manchester 015G","E01033669",50,30,15
"Manchester 017A","E01005108",75,35,40
"Manchester 017D","E01005189",40,30,10
"Manchester 017E","E01005190",65,30,30
"Manchester 017F","E01033666",85,60,20
"Manchester 018A","E01005061",40,25,15
"Manchester 018B","E01005062",25,10,15
"Manchester 018C","E01005063",35,25,10
"Manchester 018D","E01005065",65,50,15
"Manchester 018E","E01005066",30,25,5
"Manchester 019A","E01005208",40,25,15
"Manchester 019B","E01005209",80,65,15
"Manchester 019C","E01005210",35,25,10
"Manchester 019D","E01005214",45,25,15
"Manchester 020A","E01005067",40,25,15
"Manchester 020B","E01005186",50,25,25
"Manchester 020C","E01005232",40,25,15
"Manchester 020D","E01005235",45,30,20
"Manchester 020E","E01005239",60,30,30
"Manchester 021A","E01005187",60,30,30
"Manchester 021B","E01005188",55,30,30
"Manchester 021C","E01005191",45,30,15
"Manchester 021D","E01005192",35,25,15
"Manchester 021E","E01005193",30,20,10
"Manchester 022B","E01005230",50,30,20
"Manchester 022C","E01005231",30,25,0
"Manchester 022D","E01005236",50,35,15
"Manchester 022E","E01005237",35,25,10
"Manchester 022F","E01033652",40,30,15
"Manchester 022G","E01033657",30,25,5
"Manchester 023A","E01005195",50,25,30
"Manchester 023B","E01005196",55,40,15
"Manchester 023C","E01005197",60,40,20
"Manchester 023D","E01005198",45,30,15
"Manchester 023E","E01005201",65,20,45
"Manchester 024A","E01005240",85,45,40
"Manchester 024B","E01005243",95,50,40
"Manchester 024C","E01005245",70,45,25
"Manchester 024D","E01005246",75,40,35
"Manchester 025A","E01005241",45,25,15
"Manchester 025B","E01005242",100,55,45
"Manchester 025C","E01005244",55,40,15
"Manchester 025D","E01005285",50,40,15
"Manchester 025E","E01005288",55,40,20
"Manchester 026A","E01005280",30,20,10
"Manchester 026B","E01005281",25,20,5
"Manchester 026C","E01005284",30,25,5
"Manchester 026D","E01005286",30,25,5
"Manchester 026E","E01005287",55,30,25
"Manchester 027A","E01005194",55,30,20
"Manchester 027B","E01005199",35,15,20
"Manchester 027C","E01005200",30,15,10
"Manchester 027D","E01005233",40,20,20
"Manchester 027E","E01005234",50,25,25
"Manchester 027F","E01005238",45,30,15
"Manchester 028A","E01005297",55,40,15
"Manchester 028B","E01005298",20,15,5
"Manchester 028C","E01005302",65,40,25
"Manchester 028E","E01033680",35,25,10
"Manchester 028F","E01033686",30,20,10
"Manchester 029A","E01005150",25,20,5
"Manchester 029B","E01005151",10,5,5
"Manchester 029C","E01005152",5,5,0
"Manchester 029D","E01005159",20,10,10
"Manchester 029E","E01005296",15,10,5
"Manchester 029F","E01005299",20,10,10
"Manchester 030A","E01005178",40,25,15
"Manchester 030B","E01005179",40,30,10
"Manchester 030C","E01005180",55,25,25
"Manchester 030D","E01005181",25,15,10
"Manchester 030E","E01005182",35,25,10
"Manchester 030F","E01005183",35,25,10
"Manchester 031A","E01005219",55,40,10
"Manchester 031B","E01005220",35,25,15
"Manchester 031C","E01005221",40,25,10
"Manchester 031D","E01005222",40,30,15
"Manchester 032A","E01005184",30,20,15
"Manchester 032B","E01005185",15,10,5
"Manchester 032C","E01005271",40,30,10
"Manchester 032D","E01005282",20,10,10
"Manchester 032E","E01005283",10,5,5
"Manchester 033A","E01005154",10,5,5
"Manchester 033B","E01005156",10,5,5
"Manchester 033C","E01005158",25,15,10
"Manchester 033D","E01005300",15,5,10
"Manchester 033E","E01005301",15,10,0
"Manchester 034A","E01005118",10,5,5
"Manchester 034B","E01005120",20,10,10
"Manchester 034C","E01005215",45,35,10
"Manchester 034D","E01005216",15,5,5
"Manchester 034E","E01005217",20,10,10
"Manchester 034F","E01005218",15,10,5
"Manchester 035A","E01005270",30,15,15
"Manchester 035B","E01005272",40,20,15
"Manchester 035C","E01005273",30,15,10
"Manchester 035D","E01005278",20,15,10
"Manchester 035E","E01005279",45,25,20
"Manchester 036A","E01005305",20,15,5
"Manchester 036B","E01005309",25,15,15
"Manchester 036C","E01005310",15,10,5
"Manchester 036D","E01005311",30,20,10
"Manchester 036E","E01005312",25,15,10
"Manchester 037A","E01005082",25,10,15
"Manchester 037B","E01005153",15,10,5
"Manchester 037C","E01005155",5,5,0
"Manchester 037D","E01005157",5,5,5
"Manchester 038A","E01005274",30,15,15
"Manchester 038B","E01005275",25,15,10
"Manchester 038C","E01005276",20,10,5
"Manchester 038D","E01005277",15,5,5
"Manchester 039A","E01005076",15,10,0
"Manchester 039C","E01005081",55,35,25
"Manchester 039D","E01005083",15,10,5
"Manchester 039E","E01033670",0,0,0
"Manchester 039F","E01033671",10,10,5
"Manchester 040A","E01005125",20,10,10
"Manchester 040B","E01005304",20,15,5
"Manchester 040C","E01005306",10,5,5
"Manchester 040D","E01005307",10,5,5
"Manchester 040E","E01005308",30,20,15
"Manchester 041A","E01005119",30,20,10
"Manchester 041B","E01005121",25,15,10
"Manchester 041C","E01005122",35,15,20
"Manchester 041D","E01005123",30,20,10
"Manchester 041E","E01005124",45,25,20
"Manchester 042A","E01005077",40,20,20
"Manchester 042B","E01005078",10,5,5
"Manchester 042C","E01005079",25,15,10
"Manchester 042D","E01005084",35,20,15
"Manchester 043A","E01005172",20,15,0
"Manchester 043B","E01005173",5,5,0
"Manchester 043C","E01005174",5,0,5
"Manchester 043D","E01005175",20,10,10
"Manchester 043E","E01005176",10,10,0
"Manchester 043F","E01005177",5,5,0
"Manchester 044A","E01005115",25,15,10
"Manchester 044B","E01005262",30,20,10
"Manchester 044C","E01005264",30,15,15
"Manchester 044D","E01005265",35,20,15
"Manchester 044E","E01005266",40,20,20
"Manchester 045A","E01005126",20,15,5
"Manchester 045B","E01005168",10,5,5
"Manchester 045C","E01005169",10,5,5
"Manchester 045D","E01005170",15,10,5
"Manchester 045E","E01005171",25,20,10
"Manchester 046A","E01005263",35,20,10
"Manchester 046B","E01005267",15,10,5
"Manchester 046C","E01005268",25,20,10
"Manchester 046D","E01005269",5,5,5
"Manchester 047A","E01005069",10,10,5
"Manchester 047B","E01005111",20,15,10
"Manchester 047C","E01005113",55,40,15
"Manchester 047D","E01005114",15,10,0
"Manchester 047E","E01005116",35,25,15
"Manchester 048A","E01005071",30,20,10
"Manchester 048B","E01005072",40,25,15
"Manchester 048C","E01005073",20,10,10
"Manchester 048D","E01005112",30,15,15
"Manchester 048E","E01005117",80,50,25
"Manchester 049A","E01005085",25,15,10
"Manchester 049B","E01005086",45,30,15
"Manchester 049C","E01005089",45,30,15
"Manchester 049D","E01005289",35,20,15
"Manchester 049E","E01005295",25,15,10
"Manchester 050A","E01005087",55,25,30
"Manchester 050B","E01005088",45,20,25
"Manchester 050C","E01005090",45,30,10
"Manchester 050D","E01005091",55,30,25
"Manchester 050E","E01005291",35,15,15
"Manchester 051A","E01005068",20,10,15
"Manchester 051B","E01005070",40,25,15
"Manchester 051C","E01005074",35,20,20
"Manchester 051D","E01005075",25,10,10
"Manchester 051E","E01005319",40,25,10
"Manchester 052A","E01005290",40,30,10
"Manchester 052B","E01005292",50,25,25
"Manchester 052C","E01005293",10,5,5
"Manchester 052D","E01005294",35,15,15
"Manchester 052E","E01005317",30,15,15
"Manchester 053A","E01005313",25,15,10
"Manchester 053B","E01005314",30,20,10
"Manchester 053C","E01005315",50,30,20
"Manchester 053D","E01005316",20,10,10
"Manchester 053E","E01005318",30,10,15
"Manchester 054A","E01005130",45,30,15
"Manchester 054B","E01033651",5,5,0
"Manchester 054C","E01033658",10,5,0
"Manchester 054D","E01033664",5,5,0
"Manchester 054E","E01033667",10,10,5
"Manchester 055A","E01005128",5,5,0
"Manchester 055B","E01033653",5,5,0
"Manchester 055C","E01033654",5,5,0
"Manchester 055D","E01033659",10,5,5
"Manchester 055E","E01033661",5,5,0
"Manchester 056A","E01005143",70,45,30
"Manchester 056B","E01033655",10,5,5
"Manchester 056C","E01033665",10,10,5
"Manchester 056D","E01033676",50,30,15
"Manchester 057A","E01005212",40,25,10
"Manchester 057B","E01033656",5,5,0
"Manchester 057C","E01033662",15,10,5
"Manchester 058A","E01005142",60,40,20
"Manchester 058B","E01005147",60,25,35
"Manchester 058C","E01033674",30,15,15
"Manchester 058D","E01033675",35,15,15
"Manchester 059A","E01005213",65,35,30
"Manchester 059B","E01033660",5,5,5
"Manchester 059C","E01033672",45,35,15
"Manchester 059D","E01033673",5,0,0
"Manchester 060A","E01033677",5,5,0
"Manchester 060B","E01033681",5,0,5
"Manchester 060C","E01033682",5,5,0
"Manchester 060D","E01033683",0,0,0
"Oldham 001A","E01005357",15,10,5
"Oldham 001B","E01005358",30,20,10
"Oldham 001C","E01005359",10,5,5
"Oldham 001D","E01005360",20,10,15
"Oldham 002A","E01005441",45,25,20
"Oldham 002B","E01005442",15,10,5
"Oldham 002C","E01005444",30,20,10
"Oldham 002D","E01005445",35,20,15
"Oldham 003A","E01005361",15,10,5
"Oldham 003B","E01005443",5,0,5
"Oldham 003C","E01005446",15,15,5
"Oldham 003D","E01005447",40,30,10
"Oldham 004A","E01005390",15,5,5
"Oldham 004B","E01005394",15,10,5
"Oldham 004C","E01005395",15,5,5
"Oldham 004D","E01005396",15,10,5
"Oldham 005A","E01005355",25,15,10
"Oldham 005B","E01005356",10,10,5
"Oldham 005C","E01005399",10,5,5
"Oldham 005D","E01005403",20,10,10
"Oldham 006A","E01005410",10,10,5
"Oldham 006B","E01005411",10,5,5
"Oldham 006C","E01005414",5,5,0
"Oldham 006D","E01005415",10,5,5
"Oldham 007C","E01005452",10,5,5
"Oldham 007D","E01005453",10,5,0
"Oldham 007E","E01032558",60,35,25
"Oldham 007F","E01032559",35,20,15
"Oldham 008A","E01005391",25,15,10
"Oldham 008B","E01005392",40,20,20
"Oldham 008C","E01005393",0,0,0
"Oldham 008D","E01005401",10,10,0
"Oldham 009A","E01005397",25,15,10
"Oldham 009B","E01005398",20,15,10
"Oldham 009C","E01005400",35,20,15
"Oldham 009D","E01005402",20,15,10
"Oldham 010A","E01005335",10,5,5
"Oldham 010B","E01005337",50,25,25
"Oldham 010C","E01005339",10,5,0
"Oldham 010D","E01005340",50,25,20
"Oldham 011A","E01005421",45,20,20
"Oldham 011B","E01005422",50,25,25
"Oldham 011E","E01032920",80,45,35
"Oldham 012A","E01005448",85,45,40
"Oldham 012B","E01005449",35,15,15
"Oldham 012C","E01005454",15,5,10
"Oldham 012D","E01005455",30,15,15
"Oldham 012E","E01005456",85,60,25
"Oldham 013A","E01005407",15,10,5
"Oldham 013B","E01005412",15,5,10
"Oldham 013C","E01005416",10,10,5
"Oldham 013D","E01005417",5,5,0
"Oldham 014A","E01005348",80,45,35
"Oldham 014B","E01005350",140,80,65
"Oldham 014C","E01005432",85,45,40
"Oldham 014D","E01005433",100,50,45
"Oldham 015A","E01005329",15,10,5
"Oldham 015B","E01005330",10,10,5
"Oldham 015C","E01005333",5,5,5
"Oldham 015D","E01005336",10,5,5
"Oldham 016A","E01005349",75,35,40
"Oldham 016B","E01005351",55,30,20
"Oldham 016C","E01005352",50,30,20
"Oldham 016D","E01005353",90,60,30
"Oldham 016E","E01005354",45,20,25
"Oldham 017A","E01005327",15,5,10
"Oldham 017B","E01005328",60,30,30
"Oldham 017C","E01005331",40,20,15
"Oldham 017D","E01005334",5,5,5
"Oldham 017E","E01005338",45,20,25
"Oldham 018A","E01005387",15,10,5
"Oldham 018B","E01005388",15,10,5
"Oldham 018C","E01005389",60,35,25
"Oldham 018D","E01005418",10,10,5
"Oldham 019A","E01005428",45,30,15
"Oldham 019B","E01005431",35,20,15
"Oldham 019C","E01005450",45,25,25
"Oldham 019D","E01005451",25,15,10
"Oldham 020C","E01005408",15,10,5
"Oldham 020D","E01005409",15,10,5
"Oldham 020E","E01032922",20,10,5
"Oldham 021A","E01005406",10,5,5
"Oldham 021B","E01005413",5,5,0
"Oldham 021C","E01005419",15,10,5
"Oldham 021D","E01005420",25,15,5
"Oldham 022A","E01005321",65,45,20
"Oldham 022B","E01005326",55,30,25
"Oldham 022C","E01005427",55,35,20
"Oldham 022D","E01005429",35,25,10
"Oldham 022E","E01005430",55,30,25
"Oldham 024A","E01005320",55,35,20
"Oldham 024B","E01005434",130,90,40
"Oldham 024C","E01005437",45,25,20
"Oldham 024D","E01005459",45,20,25
"Oldham 026A","E01005383",45,25,20
"Oldham 026D","E01005386",65,30,35
"Oldham 026E","E01032556",20,10,10
"Oldham 026F","E01032557",60,25,35
"Oldham 027A","E01005342",45,35,10
"Oldham 027B","E01005343",30,15,15
"Oldham 027C","E01005344",50,25,25
"Oldham 027D","E01005381",45,20,25
"Oldham 028A","E01005332",30,10,15
"Oldham 028B","E01005341",30,20,10
"Oldham 028C","E01005345",10,5,5
"Oldham 028D","E01005346",15,10,0
"Oldham 028E","E01005347",15,10,5
"Oldham 029A","E01005322",45,20,20
"Oldham 029B","E01005323",35,20,15
"Oldham 029C","E01005324",40,25,15
"Oldham 029D","E01005325",55,40,20
"Oldham 029E","E01005438",65,35,30
"Oldham 030A","E01005377",50,30,25
"Oldham 030B","E01005379",55,25,30
"Oldham 030C","E01005380",45,25,20
"Oldham 030D","E01005382",55,25,25
"Oldham 030E","E01005439",25,15,10
"Oldham 031A","E01005362",10,5,5
"Oldham 031B","E01005364",20,15,5
"Oldham 031C","E01005368",60,30,30
