"lsoa11cd","lsoa11nm","measure","value"
"E01004856","Bolton 027C","Households with lone parent not in employment",38
"E01004857","Bolton 027D","Households with lone parent not in employment",46
"E01004891","Bolton 028A","Households with lone parent not in employment",2
"E01004893","Bolton 028B","Households with lone parent not in employment",2
"E01004894","Bolton 028C","Households with lone parent not in employment",20
"E01004901","Bolton 028E","Households with lone parent not in employment",4
"E01033218","Bolton 028F","Households with lone parent not in employment",8
"E01033219","Bolton 028G","Households with lone parent not in employment",4
"E01004816","Bolton 029A","Households with lone parent not in employment",18
"E01004872","Bolton 029B","Households with lone parent not in employment",36
"E01004873","Bolton 029C","Households with lone parent not in employment",48
"E01004875","Bolton 029D","Households with lone parent not in employment",21
"E01004880","Bolton 029E","Households with lone parent not in employment",9
"E01004892","Bolton 030A","Households with lone parent not in employment",2
"E01004896","Bolton 030B","Households with lone parent not in employment",2
"E01004899","Bolton 030C","Households with lone parent not in employment",13
"E01004900","Bolton 030D","Households with lone parent not in employment",11
"E01004776","Bolton 031A","Households with lone parent not in employment",21
"E01004895","Bolton 031B","Households with lone parent not in employment",16
"E01004936","Bolton 031C","Households with lone parent not in employment",8
"E01004938","Bolton 031D","Households with lone parent not in employment",35
"E01004939","Bolton 031E","Households with lone parent not in employment",24
"E01004858","Bolton 032A","Households with lone parent not in employment",16
"E01004859","Bolton 032B","Households with lone parent not in employment",36
"E01004860","Bolton 032C","Households with lone parent not in employment",32
"E01004902","Bolton 032D","Households with lone parent not in employment",19
"E01004906","Bolton 032E","Households with lone parent not in employment",25
"E01004861","Bolton 033A","Households with lone parent not in employment",54
"E01004862","Bolton 033B","Households with lone parent not in employment",49
"E01004863","Bolton 033C","Households with lone parent not in employment",37
"E01004874","Bolton 033D","Households with lone parent not in employment",45
"E01004876","Bolton 033E","Households with lone parent not in employment",50
"E01004903","Bolton 034A","Households with lone parent not in employment",8
"E01004904","Bolton 034B","Households with lone parent not in employment",15
"E01004905","Bolton 034C","Households with lone parent not in employment",26
"E01004907","Bolton 034D","Households with lone parent not in employment",28
"E01004908","Bolton 034E","Households with lone parent not in employment",12
"E01004909","Bolton 034F","Households with lone parent not in employment",30
"E01004910","Bolton 034G","Households with lone parent not in employment",16
"E01004933","Bolton 035A","Households with lone parent not in employment",5
"E01004934","Bolton 035B","Households with lone parent not in employment",25
"E01004935","Bolton 035C","Households with lone parent not in employment",11
"E01004937","Bolton 035D","Households with lone parent not in employment",8
"E01004940","Bolton 035E","Households with lone parent not in employment",11
"E01005014","Bury 001A","Households with lone parent not in employment",20
"E01005015","Bury 001B","Households with lone parent not in employment",20
"E01005016","Bury 001C","Households with lone parent not in employment",10
"E01005017","Bury 001D","Households with lone parent not in employment",3
"E01005018","Bury 001E","Households with lone parent not in employment",17
"E01005021","Bury 001F","Households with lone parent not in employment",0
"E01005019","Bury 002A","Households with lone parent not in employment",11
"E01005023","Bury 002B","Households with lone parent not in employment",7
"E01005046","Bury 002C","Households with lone parent not in employment",0
"E01005048","Bury 002D","Households with lone parent not in employment",3
"E01005020","Bury 003A","Households with lone parent not in employment",1
"E01005022","Bury 003B","Households with lone parent not in employment",11
"E01005047","Bury 003C","Households with lone parent not in employment",0
"E01005049","Bury 003D","Households with lone parent not in employment",10
"E01005051","Bury 003E","Households with lone parent not in employment",6
"E01004976","Bury 004A","Households with lone parent not in employment",28
"E01004977","Bury 004B","Households with lone parent not in employment",9
"E01004978","Bury 004C","Households with lone parent not in employment",18
"E01004981","Bury 004D","Households with lone parent not in employment",14
"E01004982","Bury 004E","Households with lone parent not in employment",5
"E01004961","Bury 005A","Households with lone parent not in employment",26
"E01004965","Bury 005B","Households with lone parent not in employment",7
"E01004966","Bury 005C","Households with lone parent not in employment",44
"E01004967","Bury 005D","Households with lone parent not in employment",3
"E01004963","Bury 006A","Households with lone parent not in employment",9
"E01004968","Bury 006B","Households with lone parent not in employment",5
"E01005050","Bury 006C","Households with lone parent not in employment",12
"E01005052","Bury 006D","Households with lone parent not in employment",4
"E01005053","Bury 006E","Households with lone parent not in employment",12
"E01004954","Bury 007A","Households with lone parent not in employment",12
"E01004955","Bury 007B","Households with lone parent not in employment",21
"E01004956","Bury 007C","Households with lone parent not in employment",30
"E01004957","Bury 007D","Households with lone parent not in employment",61
"E01004960","Bury 007E","Households with lone parent not in employment",71
"E01004958","Bury 008A","Households with lone parent not in employment",28
"E01004959","Bury 008B","Households with lone parent not in employment",32
"E01004979","Bury 008C","Households with lone parent not in employment",29
"E01004980","Bury 008D","Households with lone parent not in employment",20
"E01005024","Bury 008E","Households with lone parent not in employment",31
"E01005026","Bury 008F","Households with lone parent not in employment",20
"E01004947","Bury 009A","Households with lone parent not in employment",34
"E01004948","Bury 009B","Households with lone parent not in employment",36
"E01004962","Bury 009C","Households with lone parent not in employment",14
"E01004964","Bury 009D","Households with lone parent not in employment",15
"E01004949","Bury 010A","Households with lone parent not in employment",5
"E01004950","Bury 010B","Households with lone parent not in employment",2
"E01004951","Bury 010C","Households with lone parent not in employment",4
"E01004952","Bury 010D","Households with lone parent not in employment",2
"E01004953","Bury 010E","Households with lone parent not in employment",2
"E01005025","Bury 011A","Households with lone parent not in employment",8
"E01005027","Bury 011B","Households with lone parent not in employment",20
"E01005028","Bury 011C","Households with lone parent not in employment",39
"E01005029","Bury 011D","Households with lone parent not in employment",21
"E01005000","Bury 012A","Households with lone parent not in employment",6
"E01005001","Bury 012B","Households with lone parent not in employment",11
"E01005005","Bury 012C","Households with lone parent not in employment",4
"E01005006","Bury 012D","Households with lone parent not in employment",13
"E01005030","Bury 013A","Households with lone parent not in employment",29
"E01005054","Bury 013B","Households with lone parent not in employment",9
"E01005059","Bury 013C","Households with lone parent not in employment",15
"E01005060","Bury 013D","Households with lone parent not in employment",12
"E01004997","Bury 014A","Households with lone parent not in employment",16
"E01004998","Bury 014B","Households with lone parent not in employment",8
"E01004999","Bury 014C","Households with lone parent not in employment",18
"E01005002","Bury 014D","Households with lone parent not in employment",12
"E01005003","Bury 014E","Households with lone parent not in employment",21
"E01004991","Bury 015A","Households with lone parent not in employment",24
"E01004992","Bury 015B","Households with lone parent not in employment",20
"E01004993","Bury 015C","Households with lone parent not in employment",23
"E01004994","Bury 015D","Households with lone parent not in employment",36
"E01004990","Bury 016A","Households with lone parent not in employment",17
"E01004996","Bury 016B","Households with lone parent not in employment",42
"E01005004","Bury 016C","Households with lone parent not in employment",27
"E01005008","Bury 016D","Households with lone parent not in employment",55
"E01005009","Bury 016E","Households with lone parent not in employment",39
"E01004945","Bury 017A","Households with lone parent not in employment",4
"E01005055","Bury 017B","Households with lone parent not in employment",3
"E01005056","Bury 017C","Households with lone parent not in employment",6
"E01005057","Bury 017D","Households with lone parent not in employment",20
"E01005058","Bury 017E","Households with lone parent not in employment",3
"E01004995","Bury 018A","Households with lone parent not in employment",8
"E01005010","Bury 018B","Households with lone parent not in employment",16
"E01005012","Bury 018C","Households with lone parent not in employment",45
"E01005013","Bury 018D","Households with lone parent not in employment",59
"E01004984","Bury 019A","Households with lone parent not in employment",3
"E01004985","Bury 019B","Households with lone parent not in employment",2
"E01004989","Bury 019C","Households with lone parent not in employment",4
"E01005007","Bury 019D","Households with lone parent not in employment",5
"E01005011","Bury 019E","Households with lone parent not in employment",3
"E01004983","Bury 020A","Households with lone parent not in employment",13
"E01004986","Bury 020B","Households with lone parent not in employment",30
"E01004987","Bury 020C","Households with lone parent not in employment",17
"E01004988","Bury 020D","Households with lone parent not in employment",11
"E01004941","Bury 021A","Households with lone parent not in employment",29
"E01004942","Bury 021B","Households with lone parent not in employment",45
"E01004943","Bury 021C","Households with lone parent not in employment",28
"E01004944","Bury 021D","Households with lone parent not in employment",10
"E01004946","Bury 021E","Households with lone parent not in employment",41
"E01004969","Bury 022A","Households with lone parent not in employment",6
"E01004970","Bury 022B","Households with lone parent not in employment",6
"E01004971","Bury 022C","Households with lone parent not in employment",7
"E01005034","Bury 022D","Households with lone parent not in employment",6
"E01004972","Bury 023A","Households with lone parent not in employment",33
"E01004973","Bury 023B","Households with lone parent not in employment",18
"E01004975","Bury 023C","Households with lone parent not in employment",24
"E01005039","Bury 023D","Households with lone parent not in employment",42
"E01005045","Bury 023E","Households with lone parent not in employment",22
"E01004974","Bury 024A","Households with lone parent not in employment",6
"E01005033","Bury 024B","Households with lone parent not in employment",5
"E01005036","Bury 024C","Households with lone parent not in employment",14
"E01005037","Bury 024D","Households with lone parent not in employment",17
"E01005031","Bury 025A","Households with lone parent not in employment",19
"E01005032","Bury 025B","Households with lone parent not in employment",22
"E01005035","Bury 025C","Households with lone parent not in employment",10
"E01005038","Bury 025D","Households with lone parent not in employment",7
"E01005040","Bury 026A","Households with lone parent not in employment",10
"E01005041","Bury 026B","Households with lone parent not in employment",4
"E01005042","Bury 026C","Households with lone parent not in employment",8
"E01005043","Bury 026D","Households with lone parent not in employment",3
"E01005044","Bury 026E","Households with lone parent not in employment",4
"E01005098","Manchester 001A","Households with lone parent not in employment",49
"E01005099","Manchester 001B","Households with lone parent not in employment",92
"E01005100","Manchester 001C","Households with lone parent not in employment",44
"E01005102","Manchester 001D","Households with lone parent not in employment",25
"E01005103","Manchester 001E","Households with lone parent not in employment",49
"E01005101","Manchester 002A","Households with lone parent not in employment",43
"E01005135","Manchester 002B","Households with lone parent not in employment",66
"E01005136","Manchester 002C","Households with lone parent not in employment",19
"E01005138","Manchester 002D","Households with lone parent not in employment",89
"E01005140","Manchester 002E","Households with lone parent not in employment",69
"E01005139","Manchester 003B","Households with lone parent not in employment",36
"E01005141","Manchester 003C","Households with lone parent not in employment",57
"E01005251","Manchester 003D","Households with lone parent not in employment",58
"E01005252","Manchester 003E","Households with lone parent not in employment",46
"E01033685","Manchester 003F","Households with lone parent not in employment",23
"E01033687","Manchester 003G","Households with lone parent not in employment",27
"E01005104","Manchester 004A","Households with lone parent not in employment",69
"E01005160","Manchester 004B","Households with lone parent not in employment",19
"E01005161","Manchester 004C","Households with lone parent not in employment",28
"E01005162","Manchester 004D","Households with lone parent not in employment",19
"E01005163","Manchester 004E","Households with lone parent not in employment",23
"E01005247","Manchester 005A","Households with lone parent not in employment",14
"E01005248","Manchester 005B","Households with lone parent not in employment",8
"E01005249","Manchester 005C","Households with lone parent not in employment",28
"E01005250","Manchester 005D","Households with lone parent not in employment",67
"E01005253","Manchester 005E","Households with lone parent not in employment",53
"E01005254","Manchester 005F","Households with lone parent not in employment",17
"E01005164","Manchester 006A","Households with lone parent not in employment",44
"E01005205","Manchester 006B","Households with lone parent not in employment",64
"E01005206","Manchester 006C","Households with lone parent not in employment",40
"E01005207","Manchester 006D","Households with lone parent not in employment",56
"E01005223","Manchester 007A","Households with lone parent not in employment",28
"E01005224","Manchester 007B","Households with lone parent not in employment",58
"E01005225","Manchester 007C","Households with lone parent not in employment",53
"E01005226","Manchester 007D","Households with lone parent not in employment",44
"E01005229","Manchester 007E","Households with lone parent not in employment",14
"E01005145","Manchester 008A","Households with lone parent not in employment",44
"E01005146","Manchester 008B","Households with lone parent not in employment",39
"E01005149","Manchester 008C","Households with lone parent not in employment",23
"E01005165","Manchester 008D","Households with lone parent not in employment",50
"E01005166","Manchester 008E","Households with lone parent not in employment",26
"E01005167","Manchester 008F","Households with lone parent not in employment",38
"E01005202","Manchester 009A","Households with lone parent not in employment",111
"E01005203","Manchester 009B","Households with lone parent not in employment",83
"E01005227","Manchester 009D","Households with lone parent not in employment",68
"E01005228","Manchester 009E","Households with lone parent not in employment",70
"E01033678","Manchester 009F","Households with lone parent not in employment",57
"E01033679","Manchester 009G","Households with lone parent not in employment",62
"E01005256","Manchester 011A","Households with lone parent not in employment",70
"E01005257","Manchester 011B","Households with lone parent not in employment",85
"E01005258","Manchester 011C","Households with lone parent not in employment",44
"E01005259","Manchester 011D","Households with lone parent not in employment",87
"E01005260","Manchester 011E","Households with lone parent not in employment",21
"E01005093","Manchester 012A","Households with lone parent not in employment",69
"E01005094","Manchester 012B","Households with lone parent not in employment",61
"E01005097","Manchester 012C","Households with lone parent not in employment",81
"E01005255","Manchester 012D","Households with lone parent not in employment",63
"E01005261","Manchester 012E","Households with lone parent not in employment",73
"E01005129","Manchester 013B","Households with lone parent not in employment",56
"E01005132","Manchester 013C","Households with lone parent not in employment",74
"E01005133","Manchester 013D","Households with lone parent not in employment",36
"E01033663","Manchester 013E","Households with lone parent not in employment",8
"E01033684","Manchester 013F","Households with lone parent not in employment",1
"E01033688","Manchester 013G","Households with lone parent not in employment",53
"E01005092","Manchester 015A","Households with lone parent not in employment",64
"E01005105","Manchester 015C","Households with lone parent not in employment",77
"E01005106","Manchester 015D","Households with lone parent not in employment",56
"E01005107","Manchester 015E","Households with lone parent not in employment",75
"E01033668","Manchester 015F","Households with lone parent not in employment",32
"E01033669","Manchester 015G","Households with lone parent not in employment",47
"E01005108","Manchester 017A","Households with lone parent not in employment",125
"E01005189","Manchester 017D","Households with lone parent not in employment",60
"E01005190","Manchester 017E","Households with lone parent not in employment",71
"E01033666","Manchester 017F","Households with lone parent not in employment",46
"E01005061","Manchester 018A","Households with lone parent not in employment",72
"E01005062","Manchester 018B","Households with lone parent not in employment",47
"E01005063","Manchester 018C","Households with lone parent not in employment",44
"E01005065","Manchester 018D","Households with lone parent not in employment",59
"E01005066","Manchester 018E","Households with lone parent not in employment",16
"E01005208","Manchester 019A","Households with lone parent not in employment",47
"E01005209","Manchester 019B","Households with lone parent not in employment",42
"E01005210","Manchester 019C","Households with lone parent not in employment",24
"E01005214","Manchester 019D","Households with lone parent not in employment",37
"E01005067","Manchester 020A","Households with lone parent not in employment",56
"E01005186","Manchester 020B","Households with lone parent not in employment",54
"E01005232","Manchester 020C","Households with lone parent not in employment",30
"E01005235","Manchester 020D","Households with lone parent not in employment",58
"E01005239","Manchester 020E","Households with lone parent not in employment",83
"E01005187","Manchester 021A","Households with lone parent not in employment",74
"E01005188","Manchester 021B","Households with lone parent not in employment",41
"E01005191","Manchester 021C","Households with lone parent not in employment",57
"E01005192","Manchester 021D","Households with lone parent not in employment",26
"E01005193","Manchester 021E","Households with lone parent not in employment",49
"E01005230","Manchester 022B","Households with lone parent not in employment",25
"E01005231","Manchester 022C","Households with lone parent not in employment",4
"E01005236","Manchester 022D","Households with lone parent not in employment",30
"E01005237","Manchester 022E","Households with lone parent not in employment",19
"E01033652","Manchester 022F","Households with lone parent not in employment",18
"E01033657","Manchester 022G","Households with lone parent not in employment",19
"E01005195","Manchester 023A","Households with lone parent not in employment",68
"E01005196","Manchester 023B","Households with lone parent not in employment",112
"E01005197","Manchester 023C","Households with lone parent not in employment",43
"E01005198","Manchester 023D","Households with lone parent not in employment",53
"E01005201","Manchester 023E","Households with lone parent not in employment",92
"E01005240","Manchester 024A","Households with lone parent not in employment",111
"E01005243","Manchester 024B","Households with lone parent not in employment",106
"E01005245","Manchester 024C","Households with lone parent not in employment",103
"E01005246","Manchester 024D","Households with lone parent not in employment",100
"E01005241","Manchester 025A","Households with lone parent not in employment",61
"E01005242","Manchester 025B","Households with lone parent not in employment",125
"E01005244","Manchester 025C","Households with lone parent not in employment",42
"E01005285","Manchester 025D","Households with lone parent not in employment",24
"E01005288","Manchester 025E","Households with lone parent not in employment",26
"E01005280","Manchester 026A","Households with lone parent not in employment",35
"E01005281","Manchester 026B","Households with lone parent not in employment",2
"E01005284","Manchester 026C","Households with lone parent not in employment",6
"E01005286","Manchester 026D","Households with lone parent not in employment",6
"E01005287","Manchester 026E","Households with lone parent not in employment",37
"E01005194","Manchester 027A","Households with lone parent not in employment",55
"E01005199","Manchester 027B","Households with lone parent not in employment",57
"E01005200","Manchester 027C","Households with lone parent not in employment",37
"E01005233","Manchester 027D","Households with lone parent not in employment",64
"E01005234","Manchester 027E","Households with lone parent not in employment",42
"E01005238","Manchester 027F","Households with lone parent not in employment",34
"E01005297","Manchester 028A","Households with lone parent not in employment",40
"E01005298","Manchester 028B","Households with lone parent not in employment",24
"E01005302","Manchester 028C","Households with lone parent not in employment",16
"E01033680","Manchester 028E","Households with lone parent not in employment",11
"E01033686","Manchester 028F","Households with lone parent not in employment",12
"E01005150","Manchester 029A","Households with lone parent not in employment",8
"E01005151","Manchester 029B","Households with lone parent not in employment",2
"E01005152","Manchester 029C","Households with lone parent not in employment",3
"E01005159","Manchester 029D","Households with lone parent not in employment",2
"E01005296","Manchester 029E","Households with lone parent not in employment",6
"E01005299","Manchester 029F","Households with lone parent not in employment",12
"E01005178","Manchester 030A","Households with lone parent not in employment",44
"E01005179","Manchester 030B","Households with lone parent not in employment",20
"E01005180","Manchester 030C","Households with lone parent not in employment",61
"E01005181","Manchester 030D","Households with lone parent not in employment",17
"E01005182","Manchester 030E","Households with lone parent not in employment",37
"E01005183","Manchester 030F","Households with lone parent not in employment",53
"E01005219","Manchester 031A","Households with lone parent not in employment",26
"E01005220","Manchester 031B","Households with lone parent not in employment",28
"E01005221","Manchester 031C","Households with lone parent not in employment",27
"E01005222","Manchester 031D","Households with lone parent not in employment",48
"E01005184","Manchester 032A","Households with lone parent not in employment",15
"E01005185","Manchester 032B","Households with lone parent not in employment",4
"E01005271","Manchester 032C","Households with lone parent not in employment",12
"E01005282","Manchester 032D","Households with lone parent not in employment",25
"E01005283","Manchester 032E","Households with lone parent not in employment",9
"E01005154","Manchester 033A","Households with lone parent not in employment",2
"E01005156","Manchester 033B","Households with lone parent not in employment",2
"E01005158","Manchester 033C","Households with lone parent not in employment",20
"E01005300","Manchester 033D","Households with lone parent not in employment",12
"E01005301","Manchester 033E","Households with lone parent not in employment",9
"E01005118","Manchester 034A","Households with lone parent not in employment",10
"E01005120","Manchester 034B","Households with lone parent not in employment",26
"E01005215","Manchester 034C","Households with lone parent not in employment",25
"E01005216","Manchester 034D","Households with lone parent not in employment",8
"E01005217","Manchester 034E","Households with lone parent not in employment",12
"E01005218","Manchester 034F","Households with lone parent not in employment",8
"E01005270","Manchester 035A","Households with lone parent not in employment",43
"E01005272","Manchester 035B","Households with lone parent not in employment",74
"E01005273","Manchester 035C","Households with lone parent not in employment",20
"E01005278","Manchester 035D","Households with lone parent not in employment",13
"E01005279","Manchester 035E","Households with lone parent not in employment",46
"E01005305","Manchester 036A","Households with lone parent not in employment",9
"E01005309","Manchester 036B","Households with lone parent not in employment",7
"E01005310","Manchester 036C","Households with lone parent not in employment",25
"E01005311","Manchester 036D","Households with lone parent not in employment",14
"E01005312","Manchester 036E","Households with lone parent not in employment",8
"E01005082","Manchester 037A","Households with lone parent not in employment",46
"E01005153","Manchester 037B","Households with lone parent not in employment",13
"E01005155","Manchester 037C","Households with lone parent not in employment",4
"E01005157","Manchester 037D","Households with lone parent not in employment",4
"E01005274","Manchester 038A","Households with lone parent not in employment",37
"E01005275","Manchester 038B","Households with lone parent not in employment",7
"E01005276","Manchester 038C","Households with lone parent not in employment",19
"E01005277","Manchester 038D","Households with lone parent not in employment",3
"E01005076","Manchester 039A","Households with lone parent not in employment",10
"E01005081","Manchester 039C","Households with lone parent not in employment",74
"E01005083","Manchester 039D","Households with lone parent not in employment",2
"E01033670","Manchester 039E","Households with lone parent not in employment",7
"E01033671","Manchester 039F","Households with lone parent not in employment",4
"E01005125","Manchester 040A","Households with lone parent not in employment",46
"E01005304","Manchester 040B","Households with lone parent not in employment",7
"E01005306","Manchester 040C","Households with lone parent not in employment",4
"E01005307","Manchester 040D","Households with lone parent not in employment",2
"E01005308","Manchester 040E","Households with lone parent not in employment",43
"E01005119","Manchester 041A","Households with lone parent not in employment",53
"E01005121","Manchester 041B","Households with lone parent not in employment",41
"E01005122","Manchester 041C","Households with lone parent not in employment",56
"E01005123","Manchester 041D","Households with lone parent not in employment",79
"E01005124","Manchester 041E","Households with lone parent not in employment",69
"E01005077","Manchester 042A","Households with lone parent not in employment",68
"E01005078","Manchester 042B","Households with lone parent not in employment",1
"E01005079","Manchester 042C","Households with lone parent not in employment",38
"E01005084","Manchester 042D","Households with lone parent not in employment",33
"E01005172","Manchester 043A","Households with lone parent not in employment",2
"E01005173","Manchester 043B","Households with lone parent not in employment",1
"E01005174","Manchester 043C","Households with lone parent not in employment",2
"E01005175","Manchester 043D","Households with lone parent not in employment",8
"E01005176","Manchester 043E","Households with lone parent not in employment",6
"E01005177","Manchester 043F","Households with lone parent not in employment",4
"E01005115","Manchester 044A","Households with lone parent not in employment",41
