lsoa11cd,lsoa11nm,lad16nm,measure,value
E01033217,Bolton 016E,Bolton,Households with lone parent not in employment,14
E01033220,Bolton 016F,Bolton,Households with lone parent not in employment,27
E01004818,Bolton 017A,Bolton,Households with lone parent not in employment,18
E01004819,Bolton 017B,Bolton,Households with lone parent not in employment,11
E01004928,Bolton 017C,Bolton,Households with lone parent not in employment,37
E01004930,Bolton 017D,Bolton,Households with lone parent not in employment,17
E01004931,Bolton 017E,Bolton,Households with lone parent not in employment,31
E01004932,Bolton 017F,Bolton,Households with lone parent not in employment,18
E01004834,Bolton 018A,Bolton,Households with lone parent not in employment,19
E01004838,Bolton 018B,Bolton,Households with lone parent not in employment,39
E01004843,Bolton 018C,Bolton,Households with lone parent not in employment,3
E01004845,Bolton 018D,Bolton,Households with lone parent not in employment,5
E01004923,Bolton 018E,Bolton,Households with lone parent not in employment,13
E01004796,Bolton 019A,Bolton,Households with lone parent not in employment,14
E01004798,Bolton 019B,Bolton,Households with lone parent not in employment,39
E01004799,Bolton 019C,Bolton,Households with lone parent not in employment,7
E01004800,Bolton 019D,Bolton,Households with lone parent not in employment,4
E01004801,Bolton 019E,Bolton,Households with lone parent not in employment,70
E01004917,Bolton 019F,Bolton,Households with lone parent not in employment,44
E01004835,Bolton 020A,Bolton,Households with lone parent not in employment,2
E01004836,Bolton 020B,Bolton,Households with lone parent not in employment,4
E01004837,Bolton 020C,Bolton,Households with lone parent not in employment,2
E01004844,Bolton 020D,Bolton,Households with lone parent not in employment,4
E01004897,Bolton 020E,Bolton,Households with lone parent not in employment,9
E01004827,Bolton 021A,Bolton,Households with lone parent not in employment,41
E01004849,Bolton 021B,Bolton,Households with lone parent not in employment,24
E01004850,Bolton 021C,Bolton,Households with lone parent not in employment,39
E01004851,Bolton 021D,Bolton,Households with lone parent not in employment,17
E01004853,Bolton 021E,Bolton,Households with lone parent not in employment,32
E01004811,Bolton 022A,Bolton,Households with lone parent not in employment,40
E01004812,Bolton 022B,Bolton,Households with lone parent not in employment,30
E01004813,Bolton 022C,Bolton,Households with lone parent not in employment,27
E01004815,Bolton 022D,Bolton,Households with lone parent not in employment,28
E01004817,Bolton 022E,Bolton,Households with lone parent not in employment,15
E01004828,Bolton 023A,Bolton,Households with lone parent not in employment,35
E01004829,Bolton 023B,Bolton,Households with lone parent not in employment,17
E01004832,Bolton 023C,Bolton,Households with lone parent not in employment,23
E01004854,Bolton 023D,Bolton,Households with lone parent not in employment,19
E01004878,Bolton 023E,Bolton,Households with lone parent not in employment,14
E01004911,Bolton 024A,Bolton,Households with lone parent not in employment,22
E01004912,Bolton 024B,Bolton,Households with lone parent not in employment,5
E01004913,Bolton 024C,Bolton,Households with lone parent not in employment,23
E01004914,Bolton 024D,Bolton,Households with lone parent not in employment,6
E01004915,Bolton 024E,Bolton,Households with lone parent not in employment,9
E01004916,Bolton 024F,Bolton,Households with lone parent not in employment,18
E01004918,Bolton 024G,Bolton,Households with lone parent not in employment,2
E01004846,Bolton 025A,Bolton,Households with lone parent not in employment,29
E01004847,Bolton 025B,Bolton,Households with lone parent not in employment,59
E01004852,Bolton 025C,Bolton,Households with lone parent not in employment,17
E01004877,Bolton 025D,Bolton,Households with lone parent not in employment,48
E01004879,Bolton 025E,Bolton,Households with lone parent not in employment,33
E01004830,Bolton 026A,Bolton,Households with lone parent not in employment,28
E01004831,Bolton 026B,Bolton,Households with lone parent not in employment,10
E01004833,Bolton 026C,Bolton,Households with lone parent not in employment,6
E01004839,Bolton 026D,Bolton,Households with lone parent not in employment,46
E01004814,Bolton 027A,Bolton,Households with lone parent not in employment,29
E01004855,Bolton 027B,Bolton,Households with lone parent not in employment,30
E01004856,Bolton 027C,Bolton,Households with lone parent not in employment,38
E01004857,Bolton 027D,Bolton,Households with lone parent not in employment,46
E01004891,Bolton 028A,Bolton,Households with lone parent not in employment,2
E01004893,Bolton 028B,Bolton,Households with lone parent not in employment,2
E01004894,Bolton 028C,Bolton,Households with lone parent not in employment,20
E01004901,Bolton 028E,Bolton,Households with lone parent not in employment,4
E01033218,Bolton 028F,Bolton,Households with lone parent not in employment,8
E01033219,Bolton 028G,Bolton,Households with lone parent not in employment,4
E01004816,Bolton 029A,Bolton,Households with lone parent not in employment,18
E01004872,Bolton 029B,Bolton,Households with lone parent not in employment,36
E01004873,Bolton 029C,Bolton,Households with lone parent not in employment,48
E01004875,Bolton 029D,Bolton,Households with lone parent not in employment,21
E01004880,Bolton 029E,Bolton,Households with lone parent not in employment,9
E01004892,Bolton 030A,Bolton,Households with lone parent not in employment,2
E01004896,Bolton 030B,Bolton,Households with lone parent not in employment,2
E01004899,Bolton 030C,Bolton,Households with lone parent not in employment,13
E01004900,Bolton 030D,Bolton,Households with lone parent not in employment,11
E01004776,Bolton 031A,Bolton,Households with lone parent not in employment,21
E01004895,Bolton 031B,Bolton,Households with lone parent not in employment,16
E01004936,Bolton 031C,Bolton,Households with lone parent not in employment,8
E01004938,Bolton 031D,Bolton,Households with lone parent not in employment,35
E01004939,Bolton 031E,Bolton,Households with lone parent not in employment,24
E01004858,Bolton 032A,Bolton,Households with lone parent not in employment,16
E01004859,Bolton 032B,Bolton,Households with lone parent not in employment,36
E01004860,Bolton 032C,Bolton,Households with lone parent not in employment,32
E01004902,Bolton 032D,Bolton,Households with lone parent not in employment,19
E01004906,Bolton 032E,Bolton,Households with lone parent not in employment,25
E01004861,Bolton 033A,Bolton,Households with lone parent not in employment,54
E01004862,Bolton 033B,Bolton,Households with lone parent not in employment,49
E01004863,Bolton 033C,Bolton,Households with lone parent not in employment,37
E01004874,Bolton 033D,Bolton,Households with lone parent not in employment,45
E01004876,Bolton 033E,Bolton,Households with lone parent not in employment,50
E01004903,Bolton 034A,Bolton,Households with lone parent not in employment,8
E01004904,Bolton 034B,Bolton,Households with lone parent not in employment,15
E01004905,Bolton 034C,Bolton,Households with lone parent not in employment,26
E01004907,Bolton 034D,Bolton,Households with lone parent not in employment,28
E01004908,Bolton 034E,Bolton,Households with lone parent not in employment,12
E01004909,Bolton 034F,Bolton,Households with lone parent not in employment,30
E01004910,Bolton 034G,Bolton,Households with lone parent not in employment,16
E01004933,Bolton 035A,Bolton,Households with lone parent not in employment,5
E01004934,Bolton 035B,Bolton,Households with lone parent not in employment,25
E01004935,Bolton 035C,Bolton,Households with lone parent not in employment,11
E01004937,Bolton 035D,Bolton,Households with lone parent not in employment,8
E01004940,Bolton 035E,Bolton,Households with lone parent not in employment,11
E01005014,Bury 001A,Bury,Households with lone parent not in employment,20
E01005015,Bury 001B,Bury,Households with lone parent not in employment,20
E01005016,Bury 001C,Bury,Households with lone parent not in employment,10
E01005017,Bury 001D,Bury,Households with lone parent not in employment,3
E01005018,Bury 001E,Bury,Households with lone parent not in employment,17
E01005021,Bury 001F,Bury,Households with lone parent not in employment,0
E01005019,Bury 002A,Bury,Households with lone parent not in employment,11
E01005023,Bury 002B,Bury,Households with lone parent not in employment,7
E01005046,Bury 002C,Bury,Households with lone parent not in employment,0
E01005048,Bury 002D,Bury,Households with lone parent not in employment,3
E01005020,Bury 003A,Bury,Households with lone parent not in employment,1
E01005022,Bury 003B,Bury,Households with lone parent not in employment,11
E01005047,Bury 003C,Bury,Households with lone parent not in employment,0
E01005049,Bury 003D,Bury,Households with lone parent not in employment,10
E01005051,Bury 003E,Bury,Households with lone parent not in employment,6
E01004976,Bury 004A,Bury,Households with lone parent not in employment,28
E01004977,Bury 004B,Bury,Households with lone parent not in employment,9
E01004978,Bury 004C,Bury,Households with lone parent not in employment,18
E01004981,Bury 004D,Bury,Households with lone parent not in employment,14
E01004982,Bury 004E,Bury,Households with lone parent not in employment,5
E01004961,Bury 005A,Bury,Households with lone parent not in employment,26
E01004965,Bury 005B,Bury,Households with lone parent not in employment,7
E01004966,Bury 005C,Bury,Households with lone parent not in employment,44
E01004967,Bury 005D,Bury,Households with lone parent not in employment,3
E01004963,Bury 006A,Bury,Households with lone parent not in employment,9
E01004968,Bury 006B,Bury,Households with lone parent not in employment,5
E01005050,Bury 006C,Bury,Households with lone parent not in employment,12
E01005052,Bury 006D,Bury,Households with lone parent not in employment,4
E01005053,Bury 006E,Bury,Households with lone parent not in employment,12
E01004954,Bury 007A,Bury,Households with lone parent not in employment,12
E01004955,Bury 007B,Bury,Households with lone parent not in employment,21
E01004956,Bury 007C,Bury,Households with lone parent not in employment,30
E01004957,Bury 007D,Bury,Households with lone parent not in employment,61
E01004960,Bury 007E,Bury,Households with lone parent not in employment,71
E01004958,Bury 008A,Bury,Households with lone parent not in employment,28
E01004959,Bury 008B,Bury,Households with lone parent not in employment,32
E01004979,Bury 008C,Bury,Households with lone parent not in employment,29
E01004980,Bury 008D,Bury,Households with lone parent not in employment,20
E01005024,Bury 008E,Bury,Households with lone parent not in employment,31
E01005026,Bury 008F,Bury,Households with lone parent not in employment,20
E01004947,Bury 009A,Bury,Households with lone parent not in employment,34
E01004948,Bury 009B,Bury,Households with lone parent not in employment,36
E01004962,Bury 009C,Bury,Households with lone parent not in employment,14
E01004964,Bury 009D,Bury,Households with lone parent not in employment,15
E01004949,Bury 010A,Bury,Households with lone parent not in employment,5
E01004950,Bury 010B,Bury,Households with lone parent not in employment,2
E01004951,Bury 010C,Bury,Households with lone parent not in employment,4
E01004952,Bury 010D,Bury,Households with lone parent not in employment,2
E01004953,Bury 010E,Bury,Households with lone parent not in employment,2
E01005025,Bury 011A,Bury,Households with lone parent not in employment,8
E01005027,Bury 011B,Bury,Households with lone parent not in employment,20
E01005028,Bury 011C,Bury,Households with lone parent not in employment,39
E01005029,Bury 011D,Bury,Households with lone parent not in employment,21
E01005000,Bury 012A,Bury,Households with lone parent not in employment,6
E01005001,Bury 012B,Bury,Households with lone parent not in employment,11
E01005005,Bury 012C,Bury,Households with lone parent not in employment,4
E01005006,Bury 012D,Bury,Households with lone parent not in employment,13
E01005030,Bury 013A,Bury,Households with lone parent not in employment,29
E01005054,Bury 013B,Bury,Households with lone parent not in employment,9
E01005059,Bury 013C,Bury,Households with lone parent not in employment,15
E01005060,Bury 013D,Bury,Households with lone parent not in employment,12
E01004997,Bury 014A,Bury,Households with lone parent not in employment,16
E01004998,Bury 014B,Bury,Households with lone parent not in employment,8
E01004999,Bury 014C,Bury,Households with lone parent not in employment,18
E01005002,Bury 014D,Bury,Households with lone parent not in employment,12
E01005003,Bury 014E,Bury,Households with lone parent not in employment,21
E01004991,Bury 015A,Bury,Households with lone parent not in employment,24
E01004992,Bury 015B,Bury,Households with lone parent not in employment,20
E01004993,Bury 015C,Bury,Households with lone parent not in employment,23
E01004994,Bury 015D,Bury,Households with lone parent not in employment,36
E01004990,Bury 016A,Bury,Households with lone parent not in employment,17
E01004996,Bury 016B,Bury,Households with lone parent not in employment,42
E01005004,Bury 016C,Bury,Households with lone parent not in employment,27
E01005008,Bury 016D,Bury,Households with lone parent not in employment,55
E01005009,Bury 016E,Bury,Households with lone parent not in employment,39
E01004945,Bury 017A,Bury,Households with lone parent not in employment,4
E01005055,Bury 017B,Bury,Households with lone parent not in employment,3
E01005056,Bury 017C,Bury,Households with lone parent not in employment,6
E01005057,Bury 017D,Bury,Households with lone parent not in employment,20
E01005058,Bury 017E,Bury,Households with lone parent not in employment,3
E01004995,Bury 018A,Bury,Households with lone parent not in employment,8
E01005010,Bury 018B,Bury,Households with lone parent not in employment,16
E01005012,Bury 018C,Bury,Households with lone parent not in employment,45
E01005013,Bury 018D,Bury,Households with lone parent not in employment,59
E01004984,Bury 019A,Bury,Households with lone parent not in employment,3
E01004985,Bury 019B,Bury,Households with lone parent not in employment,2
E01004989,Bury 019C,Bury,Households with lone parent not in employment,4
E01005007,Bury 019D,Bury,Households with lone parent not in employment,5
E01005011,Bury 019E,Bury,Households with lone parent not in employment,3
E01004983,Bury 020A,Bury,Households with lone parent not in employment,13
E01004986,Bury 020B,Bury,Households with lone parent not in employment,30
E01004987,Bury 020C,Bury,Households with lone parent not in employment,17
E01004988,Bury 020D,Bury,Households with lone parent not in employment,11
E01004941,Bury 021A,Bury,Households with lone parent not in employment,29
E01004942,Bury 021B,Bury,Households with lone parent not in employment,45
E01004943,Bury 021C,Bury,Households with lone parent not in employment,28
E01004944,Bury 021D,Bury,Households with lone parent not in employment,10
E01004946,Bury 021E,Bury,Households with lone parent not in employment,41
E01004969,Bury 022A,Bury,Households with lone parent not in employment,6
E01004970,Bury 022B,Bury,Households with lone parent not in employment,6
E01004971,Bury 022C,Bury,Households with lone parent not in employment,7
E01005034,Bury 022D,Bury,Households with lone parent not in employment,6
E01004972,Bury 023A,Bury,Households with lone parent not in employment,33
E01004973,Bury 023B,Bury,Households with lone parent not in employment,18
E01004975,Bury 023C,Bury,Households with lone parent not in employment,24
E01005039,Bury 023D,Bury,Households with lone parent not in employment,42
E01005045,Bury 023E,Bury,Households with lone parent not in employment,22
E01004974,Bury 024A,Bury,Households with lone parent not in employment,6
E01005033,Bury 024B,Bury,Households with lone parent not in employment,5
E01005036,Bury 024C,Bury,Households with lone parent not in employment,14
E01005037,Bury 024D,Bury,Households with lone parent not in employment,17
E01005031,Bury 025A,Bury,Households with lone parent not in employment,19
E01005032,Bury 025B,Bury,Households with lone parent not in employment,22
E01005035,Bury 025C,Bury,Households with lone parent not in employment,10
E01005038,Bury 025D,Bury,Households with lone parent not in employment,7
E01005040,Bury 026A,Bury,Households with lone parent not in employment,10
E01005041,Bury 026B,Bury,Households with lone parent not in employment,4
E01005042,Bury 026C,Bury,Households with lone parent not in employment,8
E01005043,Bury 026D,Bury,Households with lone parent not in employment,3
E01005044,Bury 026E,Bury,Households with lone parent not in employment,4
E01005098,Manchester 001A,Manchester,Households with lone parent not in employment,49
E01005099,Manchester 001B,Manchester,Households with lone parent not in employment,92
E01005100,Manchester 001C,Manchester,Households with lone parent not in employment,44
E01005102,Manchester 001D,Manchester,Households with lone parent not in employment,25
E01005103,Manchester 001E,Manchester,Households with lone parent not in employment,49
E01005101,Manchester 002A,Manchester,Households with lone parent not in employment,43
E01005135,Manchester 002B,Manchester,Households with lone parent not in employment,66
E01005136,Manchester 002C,Manchester,Households with lone parent not in employment,19
E01005138,Manchester 002D,Manchester,Households with lone parent not in employment,89
E01005140,Manchester 002E,Manchester,Households with lone parent not in employment,69
E01005139,Manchester 003B,Manchester,Households with lone parent not in employment,36
E01005141,Manchester 003C,Manchester,Households with lone parent not in employment,57
E01005251,Manchester 003D,Manchester,Households with lone parent not in employment,58
E01005252,Manchester 003E,Manchester,Households with lone parent not in employment,46
E01033685,Manchester 003F,Manchester,Households with lone parent not in employment,23
E01033687,Manchester 003G,Manchester,Households with lone parent not in employment,27
E01005104,Manchester 004A,Manchester,Households with lone parent not in employment,69
E01005160,Manchester 004B,Manchester,Households with lone parent not in employment,19
E01005161,Manchester 004C,Manchester,Households with lone parent not in employment,28
E01005162,Manchester 004D,Manchester,Households with lone parent not in employment,19
E01005163,Manchester 004E,Manchester,Households with lone parent not in employment,23
E01005247,Manchester 005A,Manchester,Households with lone parent not in employment,14
E01005248,Manchester 005B,Manchester,Households with lone parent not in employment,8
E01005249,Manchester 005C,Manchester,Households with lone parent not in employment,28
E01005250,Manchester 005D,Manchester,Households with lone parent not in employment,67
E01005253,Manchester 005E,Manchester,Households with lone parent not in employment,53
E01005254,Manchester 005F,Manchester,Households with lone parent not in employment,17
E01005164,Manchester 006A,Manchester,Households with lone parent not in employment,44
E01005205,Manchester 006B,Manchester,Households with lone parent not in employment,64
E01005206,Manchester 006C,Manchester,Households with lone parent not in employment,40
E01005207,Manchester 006D,Manchester,Households with lone parent not in employment,56
E01005223,Manchester 007A,Manchester,Households with lone parent not in employment,28
E01005224,Manchester 007B,Manchester,Households with lone parent not in employment,58
E01005225,Manchester 007C,Manchester,Households with lone parent not in employment,53
E01005226,Manchester 007D,Manchester,Households with lone parent not in employment,44
E01005229,Manchester 007E,Manchester,Households with lone parent not in employment,14
E01005145,Manchester 008A,Manchester,Households with lone parent not in employment,44
E01005146,Manchester 008B,Manchester,Households with lone parent not in employment,39
E01005149,Manchester 008C,Manchester,Households with lone parent not in employment,23
E01005165,Manchester 008D,Manchester,Households with lone parent not in employment,50
E01005166,Manchester 008E,Manchester,Households with lone parent not in employment,26
E01005167,Manchester 008F,Manchester,Households with lone parent not in employment,38
E01005202,Manchester 009A,Manchester,Households with lone parent not in employment,111
E01005203,Manchester 009B,Manchester,Households with lone parent not in employment,83
E01005227,Manchester 009D,Manchester,Households with lone parent not in employment,68
E01005228,Manchester 009E,Manchester,Households with lone parent not in employment,70
E01033678,Manchester 009F,Manchester,Households with lone parent not in employment,57
E01033679,Manchester 009G,Manchester,Households with lone parent not in employment,62
E01005256,Manchester 011A,Manchester,Households with lone parent not in employment,70
E01005257,Manchester 011B,Manchester,Households with lone parent not in employment,85
E01005258,Manchester 011C,Manchester,Households with lone parent not in employment,44
E01005259,Manchester 011D,Manchester,Households with lone parent not in employment,87
E01005260,Manchester 011E,Manchester,Households with lone parent not in employment,21
E01005093,Manchester 012A,Manchester,Households with lone parent not in employment,69
E01005094,Manchester 012B,Manchester,Households with lone parent not in employment,61
E01005097,Manchester 012C,Manchester,Households with lone parent not in employment,81
E01005255,Manchester 012D,Manchester,Households with lone parent not in employment,63
E01005261,Manchester 012E,Manchester,Households with lone parent not in employment,73
E01005129,Manchester 013B,Manchester,Households with lone parent not in employment,56
E01005132,Manchester 013C,Manchester,Households with lone parent not in employment,74
E01005133,Manchester 013D,Manchester,Households with lone parent not in employment,36
E01033663,Manchester 013E,Manchester,Households with lone parent not in employment,8
E01033684,Manchester 013F,Manchester,Households with lone parent not in employment,1
E01033688,Manchester 013G,Manchester,Households with lone parent not in employment,53
E01005092,Manchester 015A,Manchester,Households with lone parent not in employment,64
E01005105,Manchester 015C,Manchester,Households with lone parent not in employment,77
E01005106,Manchester 015D,Manchester,Households with lone parent not in employment,56
E01005107,Manchester 015E,Manchester,Households with lone parent not in employment,75
E01033668,Manchester 015F,Manchester,Households with lone parent not in employment,32
E01033669,Manchester 015G,Manchester,Households with lone parent not in employment,47
E01005108,Manchester 017A,Manchester,Households with lone parent not in employment,125
E01005189,Manchester 017D,Manchester,Households with lone parent not in employment,60
E01005190,Manchester 017E,Manchester,Households with lone parent not in employment,71
E01033666,Manchester 017F,Manchester,Households with lone parent not in employment,46
E01005061,Manchester 018A,Manchester,Households with lone parent not in employment,72
E01005062,Manchester 018B,Manchester,Households with lone parent not in employment,47
E01005063,Manchester 018C,Manchester,Households with lone parent not in employment,44
E01005065,Manchester 018D,Manchester,Households with lone parent not in employment,59
E01005066,Manchester 018E,Manchester,Households with lone parent not in employment,16
E01005208,Manchester 019A,Manchester,Households with lone parent not in employment,47
E01005209,Manchester 019B,Manchester,Households with lone parent not in employment,42
E01005210,Manchester 019C,Manchester,Households with lone parent not in employment,24
E01005214,Manchester 019D,Manchester,Households with lone parent not in employment,37
E01005067,Manchester 020A,Manchester,Households with lone parent not in employment,56
E01005186,Manchester 020B,Manchester,Households with lone parent not in employment,54
E01005232,Manchester 020C,Manchester,Households with lone parent not in employment,30
E01005235,Manchester 020D,Manchester,Households with lone parent not in employment,58
E01005239,Manchester 020E,Manchester,Households with lone parent not in employment,83
E01005187,Manchester 021A,Manchester,Households with lone parent not in employment,74
E01005188,Manchester 021B,Manchester,Households with lone parent not in employment,41
E01005191,Manchester 021C,Manchester,Households with lone parent not in employment,57
E01005192,Manchester 021D,Manchester,Households with lone parent not in employment,26
E01005193,Manchester 021E,Manchester,Households with lone parent not in employment,49
E01005230,Manchester 022B,Manchester,Households with lone parent not in employment,25
E01005231,Manchester 022C,Manchester,Households with lone parent not in employment,4
E01005236,Manchester 022D,Manchester,Households with lone parent not in employment,30
E01005237,Manchester 022E,Manchester,Households with lone parent not in employment,19
E01033652,Manchester 022F,Manchester,Households with lone parent not in employment,18
E01033657,Manchester 022G,Manchester,Households with lone parent not in employment,19
E01005195,Manchester 023A,Manchester,Households with lone parent not in employment,68
E01005196,Manchester 023B,Manchester,Households with lone parent not in employment,112
E01005197,Manchester 023C,Manchester,Households with lone parent not in employment,43
E01005198,Manchester 023D,Manchester,Households with lone parent not in employment,53
E01005201,Manchester 023E,Manchester,Households with lone parent not in employment,92
E01005240,Manchester 024A,Manchester,Households with lone parent not in employment,111
E01005243,Manchester 024B,Manchester,Households with lone parent not in employment,106
E01005245,Manchester 024C,Manchester,Households with lone parent not in employment,103
E01005246,Manchester 024D,Manchester,Households with lone parent not in employment,100
E01005241,Manchester 025A,Manchester,Households with lone parent not in employment,61
E01005242,Manchester 025B,Manchester,Households with lone parent not in employment,125
E01005244,Manchester 025C,Manchester,Households with lone parent not in employment,42
E01005285,Manchester 025D,Manchester,Households with lone parent not in employment,24
E01005288,Manchester 025E,Manchester,Households with lone parent not in employment,26
E01005280,Manchester 026A,Manchester,Households with lone parent not in employment,35
E01005281,Manchester 026B,Manchester,Households with lone parent not in employment,2
E01005284,Manchester 026C,Manchester,Households with lone parent not in employment,6
E01005286,Manchester 026D,Manchester,Households with lone parent not in employment,6
E01005287,Manchester 026E,Manchester,Households with lone parent not in employment,37
E01005194,Manchester 027A,Manchester,Households with lone parent not in employment,55
E01005199,Manchester 027B,Manchester,Households with lone parent not in employment,57
E01005200,Manchester 027C,Manchester,Households with lone parent not in employment,37
E01005233,Manchester 027D,Manchester,Households with lone parent not in employment,64
E01005234,Manchester 027E,Manchester,Households with lone parent not in employment,42
E01005238,Manchester 027F,Manchester,Households with lone parent not in employment,34
E01005297,Manchester 028A,Manchester,Households with lone parent not in employment,40
E01005298,Manchester 028B,Manchester,Households with lone parent not in employment,24
E01005302,Manchester 028C,Manchester,Households with lone parent not in employment,16
E01033680,Manchester 028E,Manchester,Households with lone parent not in employment,11
E01033686,Manchester 028F,Manchester,Households with lone parent not in employment,12
E01005150,Manchester 029A,Manchester,Households with lone parent not in employment,8
E01005151,Manchester 029B,Manchester,Households with lone parent not in employment,2
E01005152,Manchester 029C,Manchester,Households with lone parent not in employment,3
E01005159,Manchester 029D,Manchester,Households with lone parent not in employment,2
E01005296,Manchester 029E,Manchester,Households with lone parent not in employment,6
E01005299,Manchester 029F,Manchester,Households with lone parent not in employment,12
E01005178,Manchester 030A,Manchester,Households with lone parent not in employment,44
E01005179,Manchester 030B,Manchester,Households with lone parent not in employment,20
E01005180,Manchester 030C,Manchester,Households with lone parent not in employment,61
E01005181,Manchester 030D,Manchester,Households with lone parent not in employment,17
E01005182,Manchester 030E,Manchester,Households with lone parent not in employment,37
E01005183,Manchester 030F,Manchester,Households with lone parent not in employment,53
E01005219,Manchester 031A,Manchester,Households with lone parent not in employment,26
E01005220,Manchester 031B,Manchester,Households with lone parent not in employment,28
E01005221,Manchester 031C,Manchester,Households with lone parent not in employment,27
E01005222,Manchester 031D,Manchester,Households with lone parent not in employment,48
E01005184,Manchester 032A,Manchester,Households with lone parent not in employment,15
